Priority,Type,Data Add,Status,Task,Links,"Priority (1=Today,2=Semester,3=Year,4=Future)"
1,TCC,Set/22,✔,Criar aplicativo intalavel com interface ,,
1,TCC,Set/22,✔,Usar camera no aplicativo,,
1,TCC,Set/22,✔,Utilizar as bibliotes de classificação para verificar se tem compatibilidade ,,
1,TCC,Set/22,❑,Escrever sobre metodos de avaliação dos classicadores ,,
1,TCC,Set/22,❑,Usar caixa de bigodes (boxplot) e scatter_matrix para ver dados discrepantes tanto de classificação como o resultado ,,
1,TCC,Set/22,❑,Escolhe um classificador e gera uma Matrix de desisão ,,
1,TCC,Set/22,❑,Usar Configure os testes para utilizar validação cruzada de 10 ,,
1,TCC,Set/22,❑,Usar grafico de comparação presente em  ,https://scikit-learn.org/stable/auto_examples/classification/plot_classifier_comparison.html,
1,TCC,Set/22,❑,"Pensar em usar o tempo de processamento de cada classificador para escolher o mais rapido, ou mais simples",,
1,TCC,Set/22,✔,Expandir camera do APP,,
1,TCC,Set/22,❑,Buscar novos projetos semelhantes ,,
1,TCC,Set/22,✔,Tentar rapidamente mecher na tela de configurações do aplicativo,,
1,TCC,Set/22,❑,>Atualizar o classificador principal para opencv (não faca alteração draticas no codigo),,
1,TCC,Set/22,❑,Criar codigo no classficador especfico para gerar as caracteristicas e rpover metodos de analises delas,,
1,TCC,Set/22,❑,Implementar as mais diversar opção de processamento de imagem e de caracteristicas,,
1,TCC,Set/22,❑,"Implementar um metodo de treinamento que use a maior quantidade possivel de tecnicas, com as mais possveis variações destas",,
1,TCC,Set/22,❑,Testar a geração do melhor resultado no APP,,
1,TCC,Set/22,❑,Melhorar a interface do app,,
1,TCC,Set/22,❑,Escrever TCC,,
1,TCC,Set/22,❑,Adicionar reprodução de audio do resultado,,
1,TCC,Set/22,❑,Adiciar o numero da versão do aplicativo na tela de configurações,,
1,TCC,Set/22,❑,Adicionar contato de ajuda na tela de configurações,,
